,room_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
1800,724722,907790,Entire home/apt,,I Municipio,1,5.0,5.0,2.0,,173.0,3.0,41.896512,12.472739,2015-08-29 19:26:35.020747
1801,725606,3706307,Entire home/apt,,XVII Municipio,4,5.0,,2.0,1.0,173.0,3.0,41.907207,12.451992,2015-08-29 19:26:35.020747
1802,725673,2738258,Entire home/apt,,I Municipio,28,4.0,3.0,1.0,1.0,104.0,3.0,41.901495,12.474507,2015-08-29 19:26:35.020747
1803,726015,2627731,Entire home/apt,,XVII Municipio,0,,4.0,1.0,1.5,162.0,3.0,41.904958,12.459615,2015-08-29 19:26:35.020747
1804,726285,949712,Private room,,XIX Municipio,0,,2.0,1.0,1.0,69.0,2.0,41.907439,12.441955,2015-08-29 19:26:35.020747
1805,727134,1107433,Entire home/apt,,I Municipio,10,5.0,4.0,2.0,2.0,190.0,3.0,41.890914,12.504278,2015-08-29 19:26:35.020747
1806,727343,1161479,Private room,,I Municipio,28,5.0,2.0,1.0,2.0,52.0,1.0,41.90982,12.500678,2015-08-29 19:26:35.020747
1807,727471,3768521,Entire home/apt,,I Municipio,17,4.0,3.0,1.0,1.0,81.0,1.0,41.89437,12.472759,2015-08-29 19:26:35.020747
1808,727538,1986975,Entire home/apt,,I Municipio,4,4.5,2.0,1.0,,104.0,3.0,41.88792,12.497676,2015-08-29 19:26:35.020747
1809,728385,3781393,Private room,,XVI Municipio,0,,2.0,1.0,,83.0,1.0,41.867567,12.447523,2015-08-29 19:26:35.020747
1810,728953,955490,Private room,,I Municipio,0,,2.0,1.0,,114.0,1.0,41.907895,12.479574,2015-08-29 19:26:35.020747
1811,728961,2165730,Private room,,II Municipio,4,5.0,2.0,1.0,2.0,81.0,3.0,41.930263,12.4675,2015-08-29 19:53:41.888430
1812,729435,3789709,Entire home/apt,,II Municipio,3,5.0,4.0,1.0,1.0,98.0,2.0,41.929698,12.462087,2015-08-29 19:26:35.020747
1813,729574,625640,Private room,,XVIII Municipio,55,5.0,2.0,1.0,1.0,35.0,3.0,41.903193,12.435363,2015-08-29 19:26:35.020747
1814,730032,3795905,Entire home/apt,,I Municipio,36,5.0,3.0,2.0,1.0,174.0,3.0,41.88844,12.47191,2015-08-29 19:26:35.020747
1815,730691,3800173,Entire home/apt,,XV Municipio,0,,,3.0,2.0,92.0,2.0,41.870001,12.461987,2015-08-29 19:26:35.020747
1816,730793,3800367,Private room,,XVII Municipio,8,4.5,,1.0,3.0,63.0,2.0,41.920872,12.463364,2015-08-29 19:26:35.020747
1817,731825,3809491,Entire home/apt,,I Municipio,12,5.0,,2.0,2.0,219.0,1.0,41.905901,12.481348,2015-08-29 19:26:35.020747
1818,732058,3810463,Entire home/apt,,I Municipio,72,5.0,4.0,2.0,1.0,127.0,3.0,41.893973,12.488543,2015-08-29 19:26:35.020747
1819,732329,3812304,Entire home/apt,,I Municipio,10,4.5,4.0,1.0,1.0,86.0,2.0,41.890253,12.469279,2015-08-29 19:26:35.020747
1820,732423,3812146,Entire home/apt,,I Municipio,10,4.0,4.0,1.0,1.0,91.0,2.0,41.89422,12.510215,2015-08-29 19:26:35.020747
1821,732890,3817145,Entire home/apt,,I Municipio,43,4.5,4.0,2.0,2.0,150.0,2.0,41.905497,12.48917,2015-08-29 19:26:35.020747
1822,733344,3566597,Entire home/apt,,I Municipio,39,4.5,5.0,1.0,1.0,138.0,1.0,41.884053,12.479836,2015-08-29 19:26:35.020747
1823,733347,949712,Private room,,XIX Municipio,0,,3.0,1.0,1.0,86.0,2.0,41.907906,12.442296,2015-08-29 19:26:35.020747
1824,733371,949712,Private room,,XIX Municipio,0,,3.0,1.0,,86.0,2.0,41.908063,12.443682,2015-08-29 19:26:35.020747
1825,733484,3822218,Entire home/apt,,XVII Municipio,8,5.0,5.0,2.0,2.0,138.0,1.0,41.910319,12.454514,2015-08-29 19:26:35.020747
1826,733508,3822446,Entire home/apt,,XVII Municipio,2,4.5,5.0,2.0,2.0,113.0,5.0,41.910521,12.451869,2015-08-30 00:37:02.067434
1827,735071,3834372,Private room,,VI Municipio,1,5.0,1.0,1.0,,38.0,2.0,41.88579,12.544241,2015-08-29 20:11:52.956517
1828,735272,2345353,Entire home/apt,,XVII Municipio,47,4.5,,2.0,2.0,138.0,3.0,41.904942,12.463678,2015-08-29 19:26:35.020747
