description,name,room_type,host,price,income,rank,geometry
,2972471,Entire home/apt,15165108,106,212,554,"<Point><coordinates>-5.983038,37.372432,0.0</coordinates></Point>"
,4451242,Entire home/apt,1379382,105,210,555,"<Point><coordinates>-5.974582,37.376806,0.0</coordinates></Point>"
,3868618,Private room,19974620,30,210,556,"<Point><coordinates>-5.981324,37.401646,0.0</coordinates></Point>"
,3540732,Shared room,9023860,26,208,557,"<Point><coordinates>-5.998643,37.388917,0.0</coordinates></Point>"
,6076113,Entire home/apt,9356104,103,206,558,"<Point><coordinates>-5.970208,37.371697,0.0</coordinates></Point>"
,6411860,Entire home/apt,33442069,100,200,559,"<Point><coordinates>-5.981215,37.353166,0.0</coordinates></Point>"
,6347866,Private room,2816284,50,200,560,"<Point><coordinates>-5.979123,37.386615,0.0</coordinates></Point>"
,6000266,Entire home/apt,8871545,100,200,561,"<Point><coordinates>-6.004922,37.377023,0.0</coordinates></Point>"
,2935093,Entire home/apt,14987117,66,198,562,"<Point><coordinates>-5.982245,37.432028,0.0</coordinates></Point>"
,3662230,Entire home/apt,18471964,64,192,563,"<Point><coordinates>-5.963674,37.402884,0.0</coordinates></Point>"
,1061005,Private room,5841962,21,189,564,"<Point><coordinates>-5.985819,37.421739,0.0</coordinates></Point>"
,6012501,Entire home/apt,30689257,186,186,565,"<Point><coordinates>-5.975587,37.388661,0.0</coordinates></Point>"
,2220129,Entire home/apt,8820837,62,186,566,"<Point><coordinates>-5.954356,37.376884,0.0</coordinates></Point>"
,4799182,Entire home/apt,20550981,93,186,567,"<Point><coordinates>-5.979645,37.392103,0.0</coordinates></Point>"
,5924627,Private room,28637855,36,180,568,"<Point><coordinates>-5.985009,37.424944,0.0</coordinates></Point>"
,3127498,Entire home/apt,15819228,178,178,569,"<Point><coordinates>-5.998858,37.390059,0.0</coordinates></Point>"
,710918,Private room,3658692,29,174,570,"<Point><coordinates>-5.990625,37.405686,0.0</coordinates></Point>"
,5788426,Shared room,30033256,29,174,571,"<Point><coordinates>-5.992212,37.383152,0.0</coordinates></Point>"
,4331660,Private room,22490249,29,174,572,"<Point><coordinates>-5.994519,37.399358,0.0</coordinates></Point>"
,5436723,Entire home/apt,28204564,172,172,573,"<Point><coordinates>-5.980012,37.408395,0.0</coordinates></Point>"
,927591,Entire home/apt,2584848,86,172,574,"<Point><coordinates>-6.004244,37.385465,0.0</coordinates></Point>"
,2214524,Entire home/apt,2500139,86,172,575,"<Point><coordinates>-5.979396,37.388871,0.0</coordinates></Point>"
,5723841,Entire home/apt,21806099,86,172,576,"<Point><coordinates>-5.999024,37.374251,0.0</coordinates></Point>"
,4126922,Private room,14527851,43,172,577,"<Point><coordinates>-5.967645,37.387793,0.0</coordinates></Point>"
,6257382,Entire home/apt,16694933,172,172,578,"<Point><coordinates>-5.969416,37.380229,0.0</coordinates></Point>"
,3879940,Entire home/apt,6715402,57,171,579,"<Point><coordinates>-6.004358,37.384886,0.0</coordinates></Point>"
,5753137,Private room,14969954,57,171,580,"<Point><coordinates>-5.978436,37.401248,0.0</coordinates></Point>"
,2670388,Private room,13669650,57,171,581,"<Point><coordinates>-5.996796,37.373172,0.0</coordinates></Point>"
,5471647,Private room,27998727,57,171,582,"<Point><coordinates>-5.977779,37.389588,0.0</coordinates></Point>"
,5441421,Private room,13706705,85,170,583,"<Point><coordinates>-5.999605,37.374664,0.0</coordinates></Point>"
,3973661,Private room,20594870,23,161,584,"<Point><coordinates>-5.987339,37.407802,0.0</coordinates></Point>"
,963323,Entire home/apt,5249379,79,158,585,"<Point><coordinates>-5.945173,37.372968,0.0</coordinates></Point>"
,4395067,Private room,22815787,39,156,586,"<Point><coordinates>-5.993007,37.404803,0.0</coordinates></Point>"
,6024558,Entire home/apt,9682735,156,156,587,"<Point><coordinates>-6.010261,37.37784,0.0</coordinates></Point>"
,340254,Private room,1716716,17,153,588,"<Point><coordinates>-5.972751,37.372487,0.0</coordinates></Point>"
,3744288,Entire home/apt,19041756,150,150,589,"<Point><coordinates>-5.968736,37.425735,0.0</coordinates></Point>"
,6042728,Entire home/apt,31359871,50,150,590,"<Point><coordinates>-5.988884,37.411309,0.0</coordinates></Point>"
