,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
19182,6831848,35790652,Entire home/apt,Florence,Firenze,47,4.5,3,2.0,1.0,48.0,2.0,43.777504,11.252178,2016-08-02 23:55:13.813948
19196,6839660,3170412,Entire home/apt,Florence,Firenze,62,5.0,2,0.0,1.0,127.0,,43.773897,11.257218,2016-08-03 13:44:43.625213
19201,6840783,347187,Entire home/apt,Florence,Firenze,3,5.0,3,1.0,1.0,64.0,5.0,43.786393,11.325364,2016-08-03 20:30:04.469499
19211,6841732,35353770,Entire home/apt,Arezzo,Arezzo,1,,8,2.0,2.0,225.0,7.0,43.529151,11.877611,2016-08-03 00:26:49.174487
19213,6841993,4156491,Entire home/apt,Florence,Firenze,7,4.5,6,2.0,1.0,172.0,3.0,43.771885,11.248522,2016-08-03 21:16:34.610137
19219,6843259,4156491,Entire home/apt,Florence,Firenze,0,,4,1.0,1.0,202.0,3.0,43.784145,11.273557,2016-08-03 18:37:34.266581
19223,6843918,27258771,Entire home/apt,Florence,Firenze,76,5.0,3,1.0,1.0,75.0,,43.776628,11.251937,2016-08-04 01:07:32.288926
19225,6844514,4156491,Entire home/apt,Florence,Firenze,3,5.0,4,1.0,1.0,184.0,3.0,43.766065,11.252175,2016-08-03 20:54:59.037193
19228,6844849,4156491,Entire home/apt,Florence,Firenze,0,,5,1.0,1.0,115.0,3.0,43.779047,11.253268,2016-08-03 06:14:43.378731
19230,6845719,34358289,Entire home/apt,Florence,Firenze,6,3.5,6,1.0,1.0,153.0,2.0,43.777206,11.251604,2016-08-04 03:09:05.403738
19237,6847710,34894998,Private room,Florence,Firenze,16,4.5,2,1.0,1.0,75.0,2.0,43.782099,11.244411,2016-08-04 04:39:15.467979
19245,6850872,21802896,Private room,Florence,Firenze,69,4.5,2,1.0,1.0,75.0,1.0,43.779918,11.244033,2016-08-03 14:49:34.766016
19263,6858025,26501529,Private room,Florence,Firenze,56,5.0,2,1.0,1.0,52.0,1.0,43.772355,11.25965,2016-08-04 00:21:00.790769
19266,6858585,35940083,Entire home/apt,Florence,Firenze,25,4.0,5,3.0,2.0,78.0,1.0,43.766464,11.245591,2016-08-03 18:51:35.512585
19269,6859666,35946580,Shared room,Florence,Firenze,21,4.5,1,1.0,1.0,33.0,1.0,43.77489,11.230807,2016-08-04 01:25:13.118666
19285,6862450,35960821,Entire home/apt,Florence,Firenze,24,4.5,2,1.0,1.0,58.0,2.0,43.769563,11.244964,2016-08-03 17:36:28.682142
19296,6865087,19160565,Private room,Florence,Firenze,44,4.5,2,1.0,2.0,58.0,2.0,43.774646,11.247414,2016-08-04 03:10:17.621683
19310,6872192,33456523,Private room,Florence,Firenze,1,,2,1.0,1.0,29.0,2.0,43.788164,11.235058,2016-08-03 09:59:22.395051
19311,6872244,5081592,Entire home/apt,Florence,Firenze,1,,5,3.0,2.0,144.0,3.0,43.781795,11.257672,2016-08-03 23:30:18.869136
19322,6875589,36029153,Private room,Florence,Firenze,32,4.5,2,1.0,1.0,58.0,2.0,43.769462,11.264736,2016-08-03 13:56:47.883062
19333,6877471,36039671,Entire home/apt,Florence,Firenze,66,4.5,2,1.0,1.0,57.0,1.0,43.767393,11.25375,2016-08-03 14:03:45.787914
19349,6881156,7439057,Entire home/apt,Florence,Firenze,6,4.5,7,2.0,2.0,109.0,2.0,43.771765,11.26404,2016-08-02 23:18:57.351785
19351,6881529,14299424,Entire home/apt,Florence,Firenze,73,5.0,2,1.0,1.0,91.0,1.0,43.769514,11.264201,2016-08-03 17:47:54.344208
19357,6884794,6347000,Private room,Florence,Firenze,0,,2,1.0,0.0,46.0,2.0,43.785977,11.271854,2016-08-03 11:51:38.562443
19359,6885865,3973880,Entire home/apt,Florence,Firenze,58,4.5,4,1.0,1.0,68.0,2.0,43.766445,11.244676,2016-08-03 15:05:52.438601
19366,6889804,26252808,Private room,Florence,Firenze,24,4.5,6,1.0,,288.0,1.0,43.774308,11.263871,2016-08-04 04:51:43.214875
19376,6892828,23183812,Entire home/apt,Arezzo,Arezzo,4,4.5,10,5.0,4.0,865.0,2.0,43.43101,11.853061,2016-08-04 01:32:02.872673
19379,6893286,35467334,Entire home/apt,Florence,Firenze,16,4.0,5,3.0,2.0,127.0,2.0,43.765226,11.250524,2016-08-04 03:21:09.321724
19380,6893328,12045701,Entire home/apt,Florence,Firenze,45,5.0,2,1.0,1.0,104.0,,43.771736,11.256906,2016-08-04 03:55:21.176687
19387,6894011,31584432,Entire home/apt,Florence,Firenze,1,,6,2.0,2.0,225.0,3.0,43.771105,11.27498,2016-08-04 01:21:59.318819
19393,6895084,22180920,Private room,Florence,Firenze,4,3.5,1,1.0,1.0,29.0,2.0,43.77115,11.26604,2016-08-03 04:40:01.016624
