id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9078948,"48th Fr DT beside CN Tower, Scotiabank Arena..",31554886,Yogic,,Waterfront Communities-The Island,43.64111,-79.38314,Entire home/apt,111,1,245,2019-08-21,5.48,2,231
9079724,Bright & Beautiful Annex Apartment,1445349,Coralie,,Annex,43.67275,-79.41412,Entire home/apt,75,7,0,,,1,0
9090507,Spacious & Hip on the Subway Line!,34203071,Alice,,Dovercourt-Wallace Emerson-Junction,43.66288,-79.44504,Entire home/apt,75,2,12,2018-12-27,0.36,1,32
9103255,"""Feel at home"" Parkdale apartment",5522823,Jonathan,,South Parkdale,43.63751,-79.43743,Entire home/apt,75,5,13,2019-09-09,0.28,1,0
9108756,Modern + Stylish Downtown Loft,28540021,Jen,,Roncesvalles,43.64247,-79.43171,Entire home/apt,121,6,0,,,2,0
9114125,Modern Annex/Kensington Loft,46493581,David,,University,43.66269,-79.40451,Private room,110,2,18,2019-09-06,1.29,1,73
9115824,Little Italy Studio Apartment,30605069,Paula,,Palmerston-Little Italy,43.65578,-79.42121,Entire home/apt,105,3,3,2019-08-11,0.85,1,0
9126561,Two Bedroom Apartment,8569918,Sharon,,Yonge-Eglinton,43.70347,-79.40604,Private room,170,80,0,,,20,135
9129567,Ideal for TIFF King West Victorian Studio Gem 1 BR,233763,Kathleen,,Niagara,43.64188,-79.40861,Entire home/apt,75,1,158,2019-09-10,3.38,2,59
9131652,Mid Cent.PenthouseTrinity Bellwoods,8353463,Darryl,,Niagara,43.64593,-79.40946,Entire home/apt,99,2,1,2015-11-08,0.02,1,0
9132704,Living Room in apartment North York,47567573,Chelson,,York University Heights,43.76206,-79.49987,Private room,30,1,2,2016-01-31,0.04,1,0
9133743,Downtwn Luxury w/Views&Pool&Parking,40708354,Richard,,Waterfront Communities-The Island,43.64814,-79.39154,Entire home/apt,135,3,44,2019-08-14,0.94,1,30
9134591,bsment apartment bedroom in little,47575307,Charlene,,Trinity-Bellwoods,43.65352,-79.42523,Private room,34,2,50,2019-08-24,1.32,1,134
9136123,Luxury condo in downtown core,9634507,Salman,,Waterfront Communities-The Island,43.64345,-79.37761,Entire home/apt,200,2,2,2016-02-16,0.04,1,0
9137573,Cozy Apartment in Little Italy,19752554,Nate,,Palmerston-Little Italy,43.6562,-79.41965,Entire home/apt,99,2,2,2016-03-20,0.04,1,0
9139993,"Large Master Bedroom in City Center,Ask 4 Parking",19194757,Jonathan,,Kensington-Chinatown,43.65001,-79.39962,Private room,50,3,155,2019-09-02,3.36,3,82
9146137,Toronto's little nest of joy,47624987,Gabriel,,Banbury-Don Mills,43.72991,-79.33595,Shared room,124,1,1,2015-12-11,0.02,1,365
9148666,Rogers Center-Waterfront View Condo,43770978,Natalie,,Niagara,43.64179,-79.40371,Entire home/apt,130,1,16,2018-02-18,0.43,1,0
9149223,Trendy Loft in Exciting King West,2088335,Tim,,Niagara,43.64192,-79.41398,Entire home/apt,225,3,10,2018-10-14,0.29,1,0
9151259,Cozy and Comfortable Private Room,42166282,Yingxia,,Briar Hill-Belgravia,43.7014,-79.44427,Private room,56,1,5,2019-09-09,0.12,2,276
9153094,Pretty and comfy,47652141,Sammy,,Milliken,43.81632,-79.28929,Private room,32,1,90,2019-08-19,2.03,6,348
9153709,Cityhouse,47652141,Sammy,,Milliken,43.81676,-79.29058,Private room,21,1,88,2019-06-02,1.91,6,350
9154864,ACROSS FROM THE LAKE & IN THE CITY!!,47659921,Kate,,South Parkdale,43.63704,-79.43869,Private room,75,2,55,2019-08-22,1.35,2,309
9163597,Prime Condo North York: Steps to Bayview SUBWAY!,9816635,Nezzy,,Bayview Village,43.76495,-79.38301,Private room,60,2,1,2016-09-09,0.03,2,317
9170315,"Entire 1 bedroom Loft in Lesliville, Toronto",40070999,Damola,,South Riverdale,43.66539,-79.34145,Entire home/apt,95,1,10,2016-11-06,0.26,2,0
9185094,"Best: bldg, location & amenities",773338,Jay & Noshu,,Waterfront Communities-The Island,43.64173,-79.39541,Entire home/apt,109,2,34,2018-03-18,0.75,1,38
9194415,Cozy lower 1 bdrm suite at the Greenwood subway.,12931121,Julie,,Greenwood-Coxwell,43.68181,-79.33056,Entire home/apt,75,4,7,2019-03-16,0.58,1,139
9214758,Beautiful 2 BR in Ideal Location,47919792,Michelle,,Palmerston-Little Italy,43.66275,-79.41184,Entire home/apt,90,1,374,2019-08-30,8.01,1,104
