,room_id,host_id,room_type,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude
4742,6904202,36183436,Private room,0,,2,1,1,34,3,48.187059,16.356821
4743,6904450,35111259,Private room,0,,2,1,1,42,1,48.21556,16.386658
4744,6904941,36185780,Entire home/apt,0,,2,1,1,102,1,48.188267,16.278819
4745,6905552,18127412,Private room,2,4.5,3,1,1,62,,48.202725,16.35231
4746,6905853,24322191,Entire home/apt,0,,4,1,1,62,3,48.195907,16.397555
4747,6905905,36190793,Entire home/apt,0,,2,1,1,102,1,48.181717,16.299466
4748,6908384,36193096,Entire home/apt,0,,2,1,1,61,1,48.193939,16.364487
4749,6910732,4688537,Private room,1,4,2,1,2,45,1,48.203293,16.357302
4750,6913107,36228001,Private room,4,5,2,1,1,38,2,48.230774,16.331318
4751,6913561,4547794,Entire home/apt,2,5,3,1,1,57,2,48.187446,16.373283
4752,6916874,34251311,Private room,0,,2,1,1,74,1,48.225843,16.342574
4753,6917817,20214667,Private room,7,4.5,3,1,1.5,33,1,48.184903,16.368259
4754,6917905,1215201,Entire home/apt,0,,,2,1.5,124,1,48.211982,16.36981
4755,6918216,36259775,Entire home/apt,0,,2,1,0.5,28,1,48.183631,16.300263
4756,6918792,36261548,Private room,0,,1,1,1,25,,48.234887,16.349865
4757,6918802,15684575,Entire home/apt,0,,2,1,1,62,1,48.200875,16.341638
4758,6920984,13951194,Entire home/apt,1,5,,2,1,260,1,48.220576,16.388104
4759,6921314,32746414,Entire home/apt,2,4.5,4,1,1,74,2,48.224745,16.364445
4760,6921927,3194531,Private room,1,5,2,1,1,40,1,48.204812,16.401896
4761,6922122,14896465,Entire home/apt,0,,2,1,1,96,1,48.167604,16.342765
4762,6922152,3273012,Private room,0,,2,1,1,51,1,48.218821,16.357419
4763,6922437,24337171,Private room,1,5,2,1,2.5,26,4,48.212001,16.379794
4764,6922787,15416875,Private room,0,,3,1,1,42,3,48.224139,16.365496
4765,6923920,36290955,Entire home/apt,4,4.5,3,1,1,37,1,48.197408,16.313941
4766,6924486,21452892,Entire home/apt,2,5,3,2,1,54,1,48.21057,16.330696
4767,6928546,17589195,Entire home/apt,1,5,3,1,1,85,1,48.212136,16.384729
4768,6929275,36325447,Private room,2,4,2,1,1,28,1,48.19514,16.400502
4769,6930381,33634177,Private room,0,,2,1,1,35,7,48.218273,16.362701
4770,6930393,23895015,Private room,1,4,2,1,1,55,2,48.203205,16.350811
4771,6930705,27785571,Entire home/apt,0,,,1,1,91,1,48.216824,16.316069
4772,6930903,4042594,Entire home/apt,0,,,3,2,130,3,48.244943,16.41143
4773,6931581,6791644,Private room,0,,2,1,1,44,1,48.215966,16.343009
4774,6931817,35641104,Private room,0,,2,1,1,55,2,48.199053,16.356616
4775,6932095,36340540,Entire home/apt,1,5,2,1,1,45,2,48.234762,16.353024
4776,6932351,36341641,Private room,0,,2,1,1,37,1,48.217354,16.380514
4777,6932612,33191174,Private room,0,,2,1,1,28,1,48.219052,16.398607
4778,6932764,36343325,Private room,3,5,2,1,1,45,,48.213947,16.389013
4779,6932818,36345531,Entire home/apt,0,,2,0,1,44,1,48.228332,16.371308
4780,6932905,8264532,Private room,0,,1,1,1,34,1,48.203734,16.344221
4781,6932915,36346120,Private room,0,,2,1,1,23,1,48.187248,16.333219
4782,6934835,1792095,Entire home/apt,0,,2,1,1,102,,48.190803,16.357648
4783,6935548,36361582,Private room,0,,2,1,1,40,1,48.19271,16.338142
4784,6937256,36370502,Entire home/apt,1,4,2,1,1,40,1,48.192163,16.301587
4785,6938115,6393126,Private room,2,5,2,1,1,29,1,48.212752,16.391904
4786,6941436,33015729,Entire home/apt,4,5,2,1,1,101,,48.190721,16.377494
4787,6941627,5857639,Entire home/apt,0,,4,2,1,44,3,48.183743,16.351757
4788,6941661,36400906,Entire home/apt,0,,1,1,1,78,3,48.187748,16.378863
4789,6941786,36401491,Entire home/apt,0,,3,1,1,107,1,48.224837,16.36514
4790,6942764,36404699,Private room,0,,2,1,1,34,2,48.216687,16.334709
4791,6942948,7345788,Entire home/apt,0,,4,2,1.5,95,2,48.191387,16.387218
4792,6943037,36407097,Entire home/apt,1,4,4,1,1,67,1,48.183571,16.36641
4793,6945098,27991546,Entire home/apt,0,,4,2,1.5,79,1,48.222592,16.336406
4794,6945571,2418146,Entire home/apt,1,4,4,2,1.5,91,2,48.223639,16.384484
4795,6946150,1903209,Entire home/apt,0,,3,3,1,78,5,48.207181,16.340924
4796,6946241,36421239,Private room,0,,1,1,1,25,1,48.193333,16.334123
4797,6946744,36423357,Private room,3,4.5,2,1,1,25,1,48.220215,16.399469
4798,6947086,1740694,Entire home/apt,0,,4,2,1,57,1,48.223166,16.329255
4799,6947100,36424989,Private room,0,,2,1,1,28,1,48.193968,16.332235
4800,6948122,36429856,Entire home/apt,0,,4,2,1,79,3,48.194033,16.357692
4801,6948319,36429830,Private room,2,3,3,1,1,37,,48.217951,16.35977
4802,6948530,36426117,Entire home/apt,2,4.5,2,0,1,43,3,48.187218,16.370954
4803,6949137,36433999,Private room,5,5,2,1,1,42,3,48.210693,16.353741
4804,6952873,36452681,Private room,10,4,2,1,1,32,1,48.180388,16.373556
4805,6952907,11794419,Private room,5,4,4,1,2,45,,48.203963,16.347552
4806,6952987,3203941,Private room,0,,2,1,1,34,2,48.187552,16.367352
4807,6953934,4192982,Entire home/apt,1,5,,6,1,158,1,48.208118,16.337684
4808,6954217,28552722,Entire home/apt,0,,3,1,1,43,1,48.211877,16.319194
4809,6955967,23572740,Private room,1,5,2,1,1,28,2,48.200978,16.437944
4810,6961106,16015041,Entire home/apt,3,4.5,3,1,1,67,,48.191361,16.346642
4811,6961892,36504851,Private room,0,,1,1,0.5,55,1,48.20085,16.317815
4812,6962184,6614380,Private room,0,,2,1,1,40,1,48.225031,16.343538
4813,6963854,27990024,Private room,1,5,3,1,1,23,5,48.190479,16.336897
4814,6964625,4646668,Private room,1,5,2,1,1,31,1,48.200848,16.350043
4815,6965038,36518838,Private room,0,,2,1,1,57,1,48.199689,16.338789
4816,6965711,36522822,Private room,2,4,1,1,1,28,1,48.226302,16.370251
4817,6965960,36524057,Entire home/apt,0,,4,2,1.5,44,1,48.229888,16.374005
4818,6966707,36527722,Private room,0,,1,1,1,396,1,48.220327,16.402689
4819,6967224,23863040,Private room,3,4,2,1,1,28,1,48.185315,16.368163
4820,6967537,21044280,Private room,0,,3,1,1,28,1,48.23028,16.364777
4821,6969780,36544082,Private room,2,5,2,1,1,28,1,48.194263,16.342246
4822,6971849,36555894,Private room,0,,1,1,1,28,1,48.22355,16.350583
4823,6972891,36562326,Private room,0,,2,1,1,68,1,48.197409,16.347239
4824,6973025,36557992,Entire home/apt,0,,,2,1,89,2,48.183669,16.357323
4825,6973265,19287407,Shared room,0,,2,1,1,34,1,48.219638,16.406633
4826,6977141,36587968,Private room,2,4.5,1,1,1,26,,48.19515,16.40613
4827,6977422,33517605,Entire home/apt,0,,4,2,1,45,1,48.221032,16.342174
4828,6977963,24722392,Private room,0,,1,1,1,32,1,48.214706,16.330769
4829,6977988,24722392,Private room,0,,2,1,1,28,1,48.21527,16.331052
4830,6978624,36410429,Entire home/apt,0,,2,1,1,68,6,48.231626,16.348213
4831,6979166,36596961,Private room,0,,1,1,1,28,25,48.194543,16.357688
4832,6979826,17765699,Entire home/apt,0,,4,2,1,51,20,48.196364,16.313767
4833,6980331,33122826,Entire home/apt,3,5,3,1,1,79,2,48.208375,16.387987
4834,6980352,36601907,Private room,5,5,2,1,1,23,3,48.217966,16.334746
4835,6980364,36602226,Private room,0,,2,1,1,33,2,48.191998,16.353779
4836,6981461,36606482,Private room,5,4,1,1,1,21,1,48.202895,16.342352
4837,6981534,35470128,Entire home/apt,0,,4,2,1,88,2,48.196685,16.354669
4838,6981974,36609279,Entire home/apt,0,,3,0,1,46,4,48.172741,16.366431
4839,6982316,36610635,Entire home/apt,0,,3,2,1,147,3,48.207644,16.380208
4840,6982799,36612907,Private room,1,5,2,1,1,57,1,48.195581,16.335274
4841,6982860,540246,Entire home/apt,0,,,2,2,169,1,48.205498,16.330596
4842,6983202,36614692,Entire home/apt,0,,2,1,1.5,68,21,48.216843,16.335936
4843,6984383,34922357,Entire home/apt,2,5,4,2,1,79,2,48.188525,16.302883
4844,6985566,27068280,Private room,0,,4,1,2,26,3,48.194373,16.338013
4845,6986026,1682253,Entire home/apt,0,,3,1,1,57,2,48.17493,16.366141
4846,6986931,36632100,Private room,0,,3,1,1,36,1,48.237266,16.380477
4847,6987688,32196086,Entire home/apt,2,4.5,2,1,1,51,,48.204471,16.33858
4848,6990182,36452681,Private room,0,,2,1,1,46,1,48.18038,16.373494
4849,6991779,36656274,Entire home/apt,2,4.5,2,1,1,50,4,48.202592,16.33695
4850,6992184,33959018,Private room,0,,2,1,1,40,7,48.195588,16.354417
