id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28713908,Big & special apartment close to Nişantaşı&Taksim,3803282,Pinar,,Sisli,41.05452,28.98638,Private room,374,1,0,,,4,362
28714176,"Private Room with a balcony, central Location!!!",148259638,Abdullah,,Sisli,41.07143,28.99228,Private room,57,1,10,2019-09-01,0.82,1,175
28714177,Luxury Residence Home,208416112,Armoni,,Besiktas,41.0644,29.00339,Hotel room,567,2,4,2019-01-02,0.39,4,365
28716132,Boğazda Yeniköy’de merkezde yeşillikler içinde,152626889,Gülay,,Sariyer,41.11779,29.06285,Entire home/apt,567,15,0,,,1,90
28719853,Single Room with balcony Middle in Taksim,159283889,Eylül,,Beyoglu,41.03343,28.98411,Private room,136,1,1,2019-01-01,0.11,22,359
28725991,Flat with garden view in the old town,173854267,Murat,,Fatih,41.0249,28.93402,Private room,119,2,2,2018-10-12,0.17,1,0
28727688,Central Located Cozy Flat in Ortakoy / Besiktas,166130417,Miray,,Besiktas,41.05064,29.02486,Private room,153,1,0,,,1,83
28727759,Kadıköy Sahrayı Cedid 3+1 Daire,46945775,Ahmet,,Kadikoy,40.98109,29.08186,Entire home/apt,227,1,1,2018-11-05,0.09,2,365
28728456,Cadde üzerinde metrobüse 2.dk yürüme mesafesinde,216695667,Şule,,Uskudar,41.01417,29.05751,Private room,85,1,0,,,1,364
28730313,Nova Suite Sisli,37856881,Tuncay,,Sisli,41.05039,28.98715,Entire home/apt,488,2,8,2019-09-23,1.53,2,301
28731405,House with sea view and terrace,39316826,Irem Sumru,,Kadikoy,40.988,29.02178,Private room,187,2,0,,,1,60
28732297,1 Taksim Residence Suites Apart otel,216719223,Yakup,,Beyoglu,41.03313,28.98316,Entire home/apt,511,1,12,2019-09-22,1.02,4,180
28733884,Cihangir- Discover istanbul on foot,139428842,Aysun,,Beyoglu,41.03136,28.98125,Entire home/apt,153,1,18,2019-08-25,1.46,1,238
28736225,Kozyatağı oda,216748332,Aysel,,Kadikoy,40.97009,29.09429,Private room,113,1,1,2018-11-04,0.09,1,179
28736358,Top-floor unit in Ortaköy w/ Bosphorus view,4828021,Elif,,Besiktas,41.05054,29.01987,Private room,499,1,0,,,1,83
28738058,Sunny Room with Garden View Near-Bull Statue,216768075,Muhammedali,,Kadikoy,40.98981,29.02785,Private room,62,15,0,,,1,0
28738333,Nice place in Istanbul. Like home,216769941,Yakup,,Umraniye,41.0135,29.14962,Private room,91,2,0,,,1,90
28738444,Boğaz manzaralı kurucesmede ev,216770880,Cihad,,Besiktas,41.06186,29.03586,Private room,182,1,1,2018-11-21,0.10,1,364
28738494,İstanbul Butik house,216770755,Cihat,,Beyoglu,41.03835,28.98008,Private room,284,1,0,,,1,179
28746636,STANDART DOUBLE ROOM in Beşiktaş,65733176,Tugba,,Besiktas,41.06116,29.00161,Entire home/apt,204,1,15,2019-08-10,1.26,8,365
28748146,you feel at home,132927881,Fahri,,Bayrampasa,41.0492,28.90173,Private room,119,1,0,,,2,365
28748627,İstanbul Birden fazla bölümden oluşan bina,19801574,Gamze,,Beyoglu,41.0253,28.97421,Private room,153,7,0,,,1,0
28751122,Double room with private bathroom in Bayrampasa,216859589,Münire,,Gaziosmanpasa,41.0671,28.89624,Private room,119,1,0,,,1,270
28753472,Apartman Room,216770262,Osman,,Fatih,41.00694,28.96886,Private room,102,1,0,,,1,179
28754084,Daily and monthly rental room,216886373,Vedat,,Bahcelievler,41.00583,28.85147,Private room,85,1,0,,,1,365
28754626,Galata Art Gallery House,207821058,Tugba,,Beyoglu,41.0264,28.97472,Entire home/apt,471,2,51,2019-09-26,4.21,1,226
28757006,"Bright, Cosy Room~Center with Hospitable Family :)",201871426,Ozan Barış,,Fatih,41.02979,28.93978,Private room,119,1,18,2019-08-23,1.58,1,364
28757869,Daira,216614601,Gülşah,,Sultangazi,41.10203,28.89358,Shared room,147,3,0,,,1,179
28758051,*Neighbourhood with Moda Seaside*,216367715,Gero,,Kadikoy,40.98785,29.03272,Private room,108,3,2,2018-10-19,0.17,2,88
28758516,İstanbul’da havalimanı otogara yakın oda,214698185,Sinan,,Sultangazi,41.10905,28.86406,Private room,62,1,0,,,1,365
28768230,"Best Location,Hamam Style Bath,2 MIN TO TAKSIM SQ",40980307,Ismail-HK,,Beyoglu,41.03517,28.98471,Entire home/apt,244,1,25,2019-09-16,2.62,9,354
28769856,Very comportable home. Central location.,217010346,Beritan,,Fatih,41.01486,28.93384,Shared room,312,1,0,,,1,0
28770367,Airport near big home,142479935,Furkan,,Bahcelievler,40.99225,28.83658,Entire home/apt,199,15,9,2019-05-20,0.90,2,70
28771964,.,216989130,E,,Pendik,40.88154,29.2298,Private room,62,2,0,,,1,0
28772333,Room in a flat with Galata Tower view,2341441,Ezgi,,Beyoglu,41.02788,28.98154,Private room,91,3,0,,,1,87
28775332,OLD RED HOUSE _ FENER ON THE ROAD OF PATRİARCHATE,217043205,Ipek,,Fatih,41.03076,28.95019,Private room,199,1,0,,,1,365
28778152,Le Chic Apart Nişantaşı - Artsy Loft Apartment,205727683,Sevda,,Sisli,41.05229,28.99073,Entire home/apt,499,1,2,2019-01-24,0.18,2,356
28778585,Galata Urban Fresco Residence - 3BR - 3BA,2618254,Dodo,,Beyoglu,41.02501,28.97526,Entire home/apt,425,4,53,2019-09-28,4.47,4,292
28781387,Warm/Central/Colorful Flat to Share<3from a yogini,4020864,Elif,,Sisli,41.05869,28.98674,Private room,147,7,0,,,1,362
28781521,Hoşgeldiniz yuvama Misafirlerim kendi evinizdesnz,139321732,Ömer,,Uskudar,41.01949,29.01867,Private room,147,1,0,,,1,0
28781544,Lovely home in Etiler,2425090,Fatma,,Besiktas,41.08676,29.04074,Private room,499,1,0,,,1,303
28781697,Enjoy istanbul,217094666,Mehdi,,Bagcilar,41.05556,28.81845,Entire home/apt,556,1,0,,,2,365
28791223,Old City Istanbul,217162069,Özgür,,Fatih,41.01409,28.93718,Entire home/apt,261,7,2,2019-08-19,0.90,1,59
28792843,Ozkan’s Home #Istanbul  FREE SHUTTLE (Only Women),173662633,Özkan,,Bahcelievler,41.00203,28.84255,Shared room,62,1,0,,,1,364
28796911,Taksim Delux Apartment,213157136,Ghassan,,Sisli,41.042,28.98394,Entire home/apt,624,3,1,2018-11-08,0.09,60,365
28797228,İstanbul Hub - Standard Double (apt 2),8754052,Ahmet Ertan,,Beyoglu,41.03839,28.98132,Entire home/apt,250,1,1,2019-07-19,0.41,10,352
28799123,Eyüp-İstanbul  2+1 (Otelden Ötesi Evden Fazlası),213462568,Kampüshane,,Eyup,41.06738,28.94186,Entire home/apt,301,15,1,2019-01-07,0.11,2,365
28800549,Officer's Safe Home,217214646,Oguzhan,,Uskudar,41.0196,29.02041,Private room,187,1,0,,,1,365
28800899,Designer Lookout Loft with Golden Horn View,874922,Engin,,Beyoglu,41.03505,28.97355,Entire home/apt,482,2,41,2019-09-28,3.42,1,264
28803947,2 Taksim Residence Suites Apart otel,216719223,Yakup,,Beyoglu,41.03464,28.98294,Entire home/apt,624,1,24,2019-09-13,2.13,4,180
28804392,Best location üsküdar in istanbul,217243892,Birgül,,Uskudar,41.0212,29.01859,Entire home/apt,102,2,7,2019-09-24,1.93,2,174
28804633,Dublex New house with nice big terrace,23589989,Emir,,Sancaktepe,41.0078,29.20386,Private room,142,1,0,,,1,180
28805101,Oz House / the best location,217249175,Özlem,,Kadikoy,40.98401,29.08415,Private room,199,1,0,,,1,180
28806977,A small room in the Bosphorus.,39434485,Zehra,,Sariyer,41.16142,29.03852,Private room,68,2,0,,,1,258
28807746,Residence Studio Hous in Bomonti-Şişli w/dble bed,17502015,Taner,,Sisli,41.05561,28.98227,Entire home/apt,199,2,1,2019-05-11,0.21,1,178
28807958,Best Turkey,217094666,Mehdi,,Kucukcekmece,41.05229,28.7981,Entire home/apt,556,1,0,,,2,365
28808757,Çift Kişilik Özel Banyolu Oda,139497122,Hatice,,Kadikoy,40.99184,29.05121,Private room,176,3,0,,,1,365
28809476,Room for rent in Istanbul.,217278840,Tuğba,,Sisli,41.04762,28.97951,Private room,57,2,6,2019-09-26,0.57,1,365
28809996,3 Taksim Residence Suites Apart Dubleks,216719223,Yakup,,Beyoglu,41.033,28.98239,Entire home/apt,681,1,27,2019-09-19,2.57,4,169
28821874,Florya Townhome w/ Sea View 5min Walk to Marmaray,207348611,Jordan,,Bakirkoy,40.96372,28.80037,Entire home/apt,851,2,22,2019-09-26,2.40,5,339
28827395,Apartment with a private garden,59042780,Ozge,,Besiktas,41.06043,29.00345,Private room,125,6,4,2019-05-16,0.34,1,172
28830947,"Journalist's Flat in a Perfect Location, Besiktas",24829346,Can,,Besiktas,41.04854,28.9982,Private room,62,1,33,2019-08-23,2.81,1,365
28831206,Cozy Flat/ Osmanbey Metro'ya yürüme 1 dakika,217408826,Onur,,Sisli,41.05256,28.98518,Private room,199,1,1,2018-12-13,0.10,1,365
28832160,İstanbul-Beşiktaş,217416520,Nuh,,Besiktas,41.0515,29.00672,Private room,147,1,6,2019-04-27,0.58,1,365
28833727,"Comfortable Apartment,Functional ,Economic",131654828,Damla,,Kucukcekmece,40.98731,28.78073,Entire home/apt,227,2,4,2019-07-31,0.36,1,90
28836266,Cozy and Cheap apt. in Hagia Sophia near the sea.,217446075,Seyid Rıza,,Fatih,41.00355,28.97055,Entire home/apt,397,3,40,2019-09-21,4.41,2,147
28839826,PERFECT LOCATION IN BOMONTI SISLI,217472719,Bugra,,Sisli,41.06067,28.9831,Private room,125,1,1,2018-12-28,0.11,2,179
28839987,PERFECT LOCATION BOMONTI SISLI,217472719,Bugra,,Sisli,41.062,28.98358,Private room,125,1,0,,,2,179
28840293,Cheap and Central,24584520,Kerem,,Beyoglu,41.02778,28.97894,Shared room,79,1,27,2019-09-25,2.28,1,176
28842338,Welcome Home / Pangaltı,5038830,Berkay Yahya,,Sisli,41.05142,28.9861,Entire home/apt,210,5,10,2019-09-28,0.85,5,334
28848228,Wide and cozy room,42993400,Nurullah,,Avcilar,40.98431,28.7341,Private room,96,1,4,2019-04-27,0.34,1,365
28848874,Bosphorus area with cosy artistic neighborhood,1406405,,,Besiktas,41.06948,29.04221,Entire home/apt,323,1,3,2019-05-04,0.54,2,364
28851632,Beşiktaş çatı katı Daire,32647526,Tugcan,,Besiktas,41.04654,29.00563,Entire home/apt,210,1,1,2018-10-01,0.08,1,148
28853046,Beylikdüzü Mobilyalı ÖZEL TERAS KATI ŞAHISA ait.,202009787,Burcu Sakine,,Beylikduzu,41.01,28.63169,Private room,176,7,2,2018-12-19,0.17,1,365
28853997,Simple& Clean apartment in the heart of Istanbul,12210056,Emel,,Beyoglu,41.03213,28.98703,Entire home/apt,227,2,0,,,2,88
28854253,"Haliç manzaralı temiz,keyifli bir oda",213101683,Gürsev,,Beyoglu,41.03191,28.9729,Private room,182,1,0,,,1,177
28857352,Stylishly Furbished Apartment - Nişantaşı Istanbul,24142068,Emre,,Sisli,41.048,28.99447,Entire home/apt,499,1,4,2019-01-14,0.34,1,28
